city_code,city_name,country_code,country_name
ABF,Albufeira,PT,Portugal
ABO,Albolote,ES,Spain
ABR,Abrera,ES,Spain
ABT,Abrantes,PT,Portugal
ACB,Alcoba�a,PT,Portugal
ACO,Alcoy,ES,Spain
ADR,Andorra,ES,Spain
AGA,Agueda,PT,Portugal
AGL,�guilas,ES,Spain
AGT,Algete,ES,Spain
AGU,Aguadulce,ES,Spain
AHG,Alhaurin El Grande,ES,Spain
AHT,Alhaurin de la Torre,ES,Spain
AJZ,Aranjuez,ES,Spain
ALB,Albacete,ES,Spain
ALC,Alicante,ES,Spain
ALD,Aldaia - Alacuas,ES,Spain
ALF,Alfaz del Pi,ES,Spain
ALG,Algeciras,ES,Spain
ALJ,Aljaraque,ES,Spain
ALM,Almer�a,ES,Spain
ALN,Almendralejo,ES,Spain
ALR,Alcantarilla,ES,Spain
ALV,Alverca,PT,Portugal
ALZ,Alzira - Alcudia,ES,Spain
AMA,Amarante,PT,Portugal
AMC,Almunecar,ES,Spain
AMD,Almada,PT,Portugal
AMO,Alamo,ES,Spain
AMP,Amposta,ES,Spain
AND,Andujar,ES,Spain
ARA,Aranda de Duero,ES,Spain
ARC,Arcos de la Frontera,ES,Spain
ARF,Arrecife,ES,Spain
ARR,Arrasate (Mondragon),ES,Spain
ARV,Arruda dos Vinhos,PT,Portugal
ARX,Arteixo,ES,Spain
ARY,Arroyomolinos,ES,Spain
ASJ,Alcazar de San Juan,ES,Spain
ASL,Astillero,ES,Spain
ATQ,Antequera,ES,Spain
AVI,Aviles,ES,Spain
AVL,Avila,ES,Spain
AVR,Aveiro,PT,Portugal
AYA,Ayamonte,ES,Spain
AZU,Azuqueca de Henares,ES,Spain
BAE,Baeza,ES,Spain
BAS,Basauri,ES,Spain
BAY,Bayona,ES,Spain
BCL,Barcelos,PT,Portugal
BCN,Barcelona,ES,Spain
BDL,Bobadela,PT,Portugal
BEJ,Bejar,ES,Spain
BEN,Benicarlo,ES,Spain
BER,Berango - Sopelana,ES,Spain
BIL,Bilbao,ES,Spain
BJA,Beja,PT,Portugal
BJZ,Badajoz,ES,Spain
BKL,Barakaldo,ES,Spain
BLA,Blanes,ES,Spain
BNC,Benicasim,ES,Spain
BNR,Benidorm,ES,Spain
BNT,Benavente,ES,Spain
BNV,Benavente,PT,Portugal
BOI,Boiro,ES,Spain
BRA,Bragan�a,PT,Portugal
BRG,Braga,PT,Portugal
BRR,Barreiro,PT,Portugal
BRU,Brunete,ES,Spain
BUR,Burriana,ES,Spain
CAA,Cartagena,ES,Spain
CAC,Caceres,ES,Spain
CAL,Calella,ES,Spain
CAN,Cancelada,ES,Spain
CAR,Carmona,ES,Spain
CBL,Cambrils,ES,Spain
CBR,Castelo Branco,PT,Portugal
CDN,Condeixa,PT,Portugal
CDP,Cabo de Palos - La Manga,ES,Spain
CDZ,Cadiz,ES,Spain
CEU,Ceuta,ES,Spain
CGD,Carregado,PT,Portugal
CHA,Las Chafiras,ES,Spain
CHF,Chiclana de la Frontera,ES,Spain
CHP,Chipiona,ES,Spain
CIN,Coin,ES,Spain
CIS,Cisterniga,ES,Spain
CLH,Calahorra,ES,Spain
CLP,Calpe,ES,Spain
CLR,Caldas da Rainha,PT,Portugal
CMI,Cala Millor,ES,Spain
CMP,El Campello,ES,Spain
CND,Candelaria,ES,Spain
CNG,Cangas,ES,Spain
CNL,Conil de la Frontera,ES,Spain
CNO,Canedo,PT,Portugal
CNT,Cunit,ES,Spain
COA,Costa de Adeje,ES,Spain
COI,Coimbra,PT,Portugal
COL,Colmenar Viejo,ES,Spain
COV,Covilh�,PT,Portugal
CPN,Campanillas,ES,Spain
CRE,Ciudad Real,ES,Spain
CRI,Coria del Rio,ES,Spain
CRL,Carballo,ES,Spain
CRR,Corralejo,ES,Spain
CRT,Cartama,ES,Spain
CST,Castelldefels,ES,Spain
CTD,Cantanhede,PT,Portugal
CTL,Castell�n de la Plana,ES,Spain
CTX,Cartaxo,PT,Portugal
CUG,Sant Cugat del Vall�s y Rub�,ES,Spain
CUL,Cullera,ES,Spain
CUN,Cuenca,ES,Spain
CVI,Collado de Villalba,ES,Spain
CVL,Crevillente,ES,Spain
CVS,Carvalhos,PT,Portugal
DEH,La Dehesa de Campoamor,ES,Spain
DNA,Denia,ES,Spain
DSH,Dos Hermanas,ES,Spain
DUR,Durango,ES,Spain
EAS,San Sebasti�n,ES,Spain
EBR,Miranda de Ebro,ES,Spain
ECI,Ecija,ES,Spain
ECS,El Casar,ES,Spain
EJI,El Ejido,ES,Spain
ELP,El Puerto de Santamaría,ES,Spain
ELV,Elvas,PT,Portugal
ELX,Elche,ES,Spain
EPO,Espinho,PT,Portugal
EPS,Esposende,PT,Portugal
ERC,Ericeira,PT,Portugal
ESC,El Escorial,ES,Spain
ESL,La Escala,ES,Spain
ESP,Esparreguera,ES,Spain
ESR,Espartinas,ES,Spain
EST,Estepona,ES,Spain
ETZ,Estremoz,PT,Portugal
EVO,Evora,PT,Portugal
FAO,Faro,PT,Portugal
FAR,La pobla de Farnals,ES,Spain
FDA,Fuenlabrada,ES,Spain
FER,San Fernando,ES,Spain
FGF,Figueira da Foz,PT,Portugal
FIG,Figueras,ES,Spain
FML,Famalic�o,PT,Portugal
FNF,Fern�o Ferro,PT,Portugal
FNG,Fuengirola,ES,Spain
FRN,Ferrol y Naron,ES,Spain
FTM,F�tima,PT,Portugal
FUN,Funchal,PT,Portugal
GAL,Galdacano,ES,Spain
GAN,Gandia,ES,Spain
GAR, Vera - Garrucha,ES,Spain
GAV,Gava - Viladecans,ES,Spain
GDL,Guadalajara,ES,Spain
GDR,Guadarrama,ES,Spain
GDX,Guadix,ES,Spain
GIJ,Gijon,ES,Spain
GLE,Granollers,ES,Spain
GLP,Galapagar,ES,Spain
GMS,Guimaraes,PT,Portugal
GRA,Granada,ES,Spain
GRD,Guarda,PT,Portugal
GRI,Gri�on,ES,Spain
GRO,Girona,ES,Spain
GTX,Getxo,ES,Spain
GUA,Alcala de Guadaira,ES,Spain
HEN,Alcal� de Henares,ES,Spain
HLL,Hellin,ES,Spain
HSK,Huesca,ES,Spain
HUV,Huelva,ES,Spain
IBI,Ibi,ES,Spain
IBZ,Ibiza,ES,Spain
ILL,Illescas,ES,Spain
INC,Inca,ES,Spain
IRU,Irun,ES,Spain
JEN,Jaen,ES,Spain
LCG,A Coru�a,ES,Spain
LDC,Linea de la Concepcion,ES,Spain
LDM,Lloret de Mar,ES,Spain
LEB,Lebrija,ES,Spain
LEI,Leiria,PT,Portugal
LEN,Le�n,ES,Spain
LER,Lleida,ES,Spain
LGS,Lagos,PT,Portugal
LIN,Linares,ES,Spain
LIO,Lisboa Oeste,PT,Portugal
LIS,Lisboa,PT,Portugal
LLO,False 5,ES,Spain
LNG,Langreo,ES,Spain
LNH,Lourinh�,PT,Portugal
LOE,Loeches,ES,Spain
LOR,Lorca,ES,Spain
LPA,Las Palmas de Gran Canaria,ES,Spain
LPE,Lepe,ES,Spain
LUC,Lucena,ES,Spain
LUG,Lugo,ES,Spain
MAD,Madrid,ES,Spain
MAL,M�laga,ES,Spain
MAO,Mahon,ES,Spain
MAS,Masnou,ES,Spain
MAT,Matar�,ES,Spain
MAZ,Mazarr�n,ES,Spain
MBA,Marbella,ES,Spain
MCD,Montcada,ES,Spain
MDC,Medina del Campo,ES,Spain
MEJ,Mejorada del Campo,ES,Spain
MEL,Melilla,ES,Spain
MER,Merida,ES,Spain
MFR,Mafra,PT,Portugal
MGP,Magaluf + Palma Nova,ES,Spain
MJO,Montijo,PT,Portugal
MLG,Malgrat de Mar - Santa Susanna,ES,Spain
MLJ,Madrilejos,ES,Spain
MLV,Malveira,PT,Portugal
MMN,Montemor-o-Novo,PT,Portugal
MNC,Manacor,ES,Spain
MNR,Manresa,ES,Spain
MNZ,Manzanares,ES,Spain
MON,Montserrat,ES,Spain
MOR,Moron de la Frontera,ES,Spain
MOS,M�stoles - Alcorc�n,ES,Spain
MOT,Motril,ES,Spain
